i1,i2,d1,d2,d3,d4,ind1,ind2,ind3,ind4,ind5,,ind6
2011/12,PINSU,-0.88,-6.98,-1.1,-1.19,28.69,5.91,10.73,3.31,1.06,0.001012198,0.1012198
2011/12,PNSUT,12.59,10.51,11.2,17.7,29.83,7.64,10.51,5.2,1.81,0.006151547,0.6151547
2011/12,PRKAB,1.07,1.61,0.51,2.77,66.95,4.71,7.52,3.68,1.36,0.003835193,0.3835193
2011/12,SARKY,4.01,0.78,1.38,10.89,65.82,6.51,16.31,19.57,1.23,0.008342894,0.8342894
2011/12,SASA,7.61,7.94,4.66,16.62,55.74,6.68,4.76,5.83,1.22,0.006098523,0.6098523
2011/12,SELGD,2.19,-5.25,2.7,3.6,30.47,6.45,4.34,16.88,2.21,0.000111343,0.0111343
2011/12,SISE,8.41,15.2,12.68,16.75,37.54,5.24,3.53,9.76,2.79,0.081172856,8.1172856
2011/12,SKTAS,5.59,14.46,9.85,13.85,62.17,6.24,2.97,4.46,1.1,0.003735677,0.3735677
2011/12,SNPAM,5.79,11.76,19.67,6.08,5.81,2.54,4.22,6.89,7.67,0.000862416,0.0862416
2011/12,TATGD,1.55,3.55,1.3,4.76,61.08,3.98,3.9,9,2.65,0.005958407,0.5958407
2011/12,TBORG,-3.47,0.74,-3.94,-8.14,62.8,2.04,4.03,5.02,0.88,0.002632169,0.2632169
2011/12,TOASO,8.18,6.69,6.46,27.13,71.61,6.54,16.09,4.31,1.3,0.061971409,6.1971409
2011/12,TUKAS,-20.01,-25.39,-37.73,-62.17,77.95,1.5,2.07,4.09,1.1,0.002120697,0.2120697
2011/12,TUPRS,8.66,4.68,3.04,30.15,70.15,13.28,11.29,7.31,1.08,0.145121789,14.5121789
2011/12,ULKER,23.68,2.6,36.78,53.46,58.91,3.92,9.14,4.2,1.45,0.026259897,2.6259897
2011/12,USAK,0.76,6.49,1.4,2.38,68.71,2.45,2.74,10.77,0.99,0.002056415,0.2056415
2011/12,VESTL,-0.78,6.28,-0.51,-3.56,77.95,4.27,4.85,2.4,1.04,0.05047118,5.047118
2011/12,YATAS,2.06,-3.92,2.45,7.29,70.85,3.77,1.7,2.56,1.16,0.002516157,0.2516157
